"","date","Andalucia","Aragon","Asturias","Baleares","Canarias","Cantabria","Castilla.y.Leon","Castilla.la.Mancha","Cataluna","Cominudad.Valenciana","Extremadura","Galicia","Madrid","Murcia","Navarra","Pais.Vasco","La.Rioja","Ceuta","Melilla"
"1","200601",490580,43166,59953,48036,133647,25727,121873,98802,269904,208669,78993,181401,225259,46584,23448,89550,10804,7720,7387
"2","200602",489059,42293,60028,45193,134828,25364,121556,99123,273062,208153,79608,178373,225214,47695,23463,89859,10823,8138,7445
"3","200603",488885,41875,59124,42231,136536,24159,120579,97741,270573,204527,78816,176114,223860,46379,22218,88346,10810,8146,7611
"4","200604",471085,39754,55788,35070,135885,22991,116881,94341,259989,199324,77781,170332,220235,43833,21041,85185,10756,8108,7297
"5","200605",459561,37691,52194,28259,133443,21943,110460,91406,253686,193085,76668,163161,215751,41465,19937,80331,10301,8004,7182
"6","200606",463318,34413,49882,26344,132328,20933,106070,87349,250757,189859,75816,153746,206759,41959,19781,76039,9790,7672,6939
"7","200607",465384,34033,48449,26932,130291,19378,101303,85770,257969,187156,73681,148068,212432,43226,20552,76311,9754,7396,6899
"8","200608",469802,34912,49137,28338,127768,19191,100345,87411,264325,196663,74390,146388,217021,45543,20530,78864,9899,7352,5798
"9","200609",474597,35068,49985,28725,125720,19630,101128,87757,255144,190563,75255,146834,213081,44472,19999,76409,9345,6616,5838
"10","200610",486945,35952,51443,33704,126004,20300,104443,88743,256166,187768,74020,151534,213581,44056,19777,76227,9631,6585,5957
"11","200611",490884,36285,52382,44490,125702,20675,107085,89435,257771,189885,74743,158690,212754,43451,20029,76190,9766,6798,6149
"12","200612",477784,36507,52913,46284,122153,21613,108421,90921,260749,194879,74637,160666,211558,43591,21060,76203,10154,6704,6076
"13","200701",491931,37365,56644,46824,126736,23010,113240,94590,261348,200584,76387,163583,218201,45295,22509,80685,10461,6776,6339
"14","200702",490416,36389,55613,43353,129444,22618,113136,95029,257583,200119,75803,160904,220752,45982,22265,80960,10415,6872,7622
"15","200703",486934,36275,53738,39855,130648,21871,112578,94166,254720,198345,75712,159886,222811,45112,21611,80157,10318,7046,7668
"16","200704",480446,35848,51848,34253,133091,21025,109422,92925,248659,196329,74489,155479,222172,44471,19938,77946,10089,6986,7708
"17","200705",473876,34311,48288,28245,135268,19982,107008,89991,244813,193447,73373,148209,218126,42981,18845,72900,9491,6703,7374
"18","200706",482914,33165,46364,27713,135557,19381,102387,87208,245490,194000,73906,143156,216651,43481,19196,70955,9379,7409,7557
"19","200707",485693,33701,44911,29334,132139,18624,99031,87073,255575,194930,72023,139998,216289,45188,20285,72224,9399,7313,6608
"20","200708",497306,35655,45643,30900,132797,18618,97895,89685,267473,208014,72622,140299,223083,48922,20477,75514,9935,7236,6222
